match_id,year,tournament_id,tournament_name,stage_name,knockout_stage,team_a_id,team_b_id,team_a_name,team_b_name,team_a_elo_pre,team_b_elo_pre,team_a_gf_avg,team_a_ga_avg,team_b_gf_avg,team_b_ga_avg,goals_a,goals_b,penalty_shootout,target,elo_diff,matches_played_diff,win_rate_diff,gf_avg_diff,ga_avg_diff,form_points_diff,experience_diff,host_advantage,h2h_played,h2h_a_win_rate,h2h_goal_diff_avg,same_confederation,team_a_conf,team_b_conf
M-1954-03,1954,WC-1954,1954 FIFA Men's World Cup,group stage,0,T-64,T-05,Scotland,Austria,1500.0,1501.490962146291,,,1.75,1.75,0,1,0,2,-1.49096214629094,-4,,,,,-1,0,0,,,1,UEFA,UEFA
M-1954-04,1954,WC-1954,1954 FIFA Men's World Cup,group stage,0,T-21,T-84,Czechoslovakia,Uruguay,1554.8819090311372,1678.9465711858313,2.1666666666666665,1.3333333333333333,3.75,1.0,0,2,0,2,-124.06466215469413,-2,-0.20833333333333337,-1.5833333333333335,0.33333333333333326,-0.8,0,0,0,,,0,UEFA,CONMEBOL
M-1954-05,1954,WC-1954,1954 FIFA Men's World Cup,group stage,0,T-41,T-75,Italy,Switzerland,1665.4131598487775,1490.165249546111,2.6,1.0,1.8571428571428572,2.142857142857143,1,2,0,2,175.24791030266647,3,0.4714285714285715,0.7428571428571429,-1.1428571428571428,1.0,0,-1,0,,,1,UEFA,UEFA
M-1954-06,1954,WC-1954,1954 FIFA Men's World Cup,group stage,0,T-71,T-36,South Korea,Hungary,1500.0,1587.2746263976837,,,3.3333333333333335,1.5,0,9,0,2,-87.27462639768373,-6,,,,,-2,0,0,,,0,AFC,UEFA
M-1954-07,1954,WC-1954,1954 FIFA Men's World Cup,group stage,0,T-86,T-80,West Germany,Turkey,1500.0,1500.0,,,,,4,1,0,0,0.0,0,,,,,0,0,0,,,1,UEFA,UEFA
M-1954-08,1954,WC-1954,1954 FIFA Men's World Cup,group stage,0,T-28,T-06,England,Belgium,1490.6737316119923,1390.6997812099628,0.6666666666666666,0.6666666666666666,0.75,3.0,4,4,0,1,99.97395040202946,-1,0.3333333333333333,-0.08333333333333337,-2.3333333333333335,1.0,-2,0,0,,,1,UEFA,UEFA
M-1954-09,1954,WC-1954,1954 FIFA Men's World Cup,group stage,0,T-84,T-64,Uruguay,Scotland,1698.6672081650402,1480.0858261534622,3.5555555555555554,0.8888888888888888,0.0,1.0,7,0,0,0,218.58138201157794,8,0.8888888888888888,3.5555555555555554,-0.11111111111111116,2.6,2,0,0,,,0,CONMEBOL,UEFA
M-1954-10,1954,WC-1954,1954 FIFA Men's World Cup,group stage,0,T-09,T-87,Brazil,Yugoslavia,1654.985342233531,1555.1055744440891,3.2857142857142856,1.5,2.142857142857143,1.4285714285714286,1,1,0,1,99.87976778944176,7,-0.0714285714285714,1.1428571428571428,0.0714285714285714,0.5999999999999999,2,0,2,0.5,0.5,0,CONMEBOL,UEFA
M-1954-11,1954,WC-1954,1954 FIFA Men's World Cup,group stage,0,T-21,T-05,Czechoslovakia,Austria,1535.1612720519283,1521.4051359928287,1.8571428571428572,1.4285714285714286,1.6,1.4,0,5,0,2,13.756136059099617,2,-0.02857142857142858,0.2571428571428571,0.028571428571428692,-0.6000000000000001,1,0,0,,,1,UEFA,UEFA
M-1954-12,1954,WC-1954,1954 FIFA Men's World Cup,group stage,0,T-30,T-46,France,Mexico,1462.5517698536908,1338.1286115003038,1.4285714285714286,1.5714285714285714,0.8571428571428571,4.0,3,2,0,0,124.42315835338695,0,0.2857142857142857,0.5714285714285715,-2.428571428571429,0.6,1,0,1,1.0,3.0,0,UEFA,CONCACAF
